timestamp,hostname,os_name,interval_seconds,cpu_percent,memory_percent,swap_percent,process_count,user_process_count,new_process_count,thread_count,open_file_count,connection_count,established_count,listen_count,remote_ip_count,remote_port_count,uncommon_remote_port_count,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec
1784474362.8033783,Maxim9012,Windows,5.0,14.2,58.1,1.1,294,142,0,4972,3034,211,88,53,48,41,38,6012.0,7047.6,36.8,45.4
1784474388.5434024,Maxim9012,Windows,5.0,16.5,59.3,1.1,300,148,6,5095,3088,212,88,53,47,41,38,5173.4,5881.6,29.2,39.0
1784474414.8404334,Maxim9012,Windows,5.0,13.4,59.1,1.1,293,142,0,4974,3022,216,89,53,47,41,38,17524.8,40666.0,77.4,101.8
1784474440.8221645,Maxim9012,Windows,5.0,17.5,59.3,1.1,293,142,0,4965,3034,215,89,53,48,41,38,9512.4,9547.2,40.0,48.2
1784474466.328791,Maxim9012,Windows,5.0,13.4,58.2,1.1,293,142,0,4964,3022,218,87,53,46,41,38,6545.2,16270.8,40.2,53.6
1784474491.661649,Maxim9012,Windows,5.0,17.0,59.6,1.1,299,148,6,5098,3088,217,87,53,47,41,38,6023.8,17293.4,38.0,47.8
1784474517.8558288,Maxim9012,Windows,5.0,13.5,59.2,1.1,293,142,0,5016,3022,217,87,53,47,41,38,4408.2,6611.2,29.0,37.0
1784474543.2393918,Maxim9012,Windows,5.0,13.7,58.2,1.1,293,142,0,5012,3034,216,88,53,46,41,38,4279.4,4479.2,27.0,36.4
1784474569.1597867,Maxim9012,Windows,5.0,17.0,59.3,1.1,294,142,1,5018,3034,216,88,53,46,41,38,4144.0,3469.8,22.4,30.8
1784474594.7279499,Maxim9012,Windows,5.0,13.7,58.1,1.1,294,142,0,5016,3022,214,87,53,47,42,39,5596.0,9461.0,39.8,48.0
1784474620.6151915,Maxim9012,Windows,5.0,16.9,59.4,1.1,297,145,3,5104,3061,213,86,53,46,42,39,5037.0,5347.6,33.0,39.2
1784474646.62947,Maxim9012,Windows,5.0,14.9,58.2,1.1,294,142,0,5023,3022,214,88,53,46,41,38,8357.0,26956.2,44.0,61.4
1784474672.2180958,Maxim9012,Windows,5.0,17.9,59.7,1.1,303,149,10,5270,3093,214,81,53,46,39,36,4921.0,4596.2,27.6,36.4
1784474698.8129659,Maxim9012,Windows,5.0,14.2,59.0,1.1,294,142,0,5118,3022,214,81,53,46,40,37,4456.6,5842.6,26.4,34.8
1784474724.2769096,Maxim9012,Windows,5.0,13.7,58.3,1.1,297,144,3,5139,3034,222,87,53,48,41,38,16838.0,37788.2,69.8,91.0
1784474750.7738853,Maxim9012,Windows,5.0,19.3,59.3,1.1,296,143,0,5047,2884,223,87,53,48,42,39,12400.8,13338.2,52.4,65.2
1784474776.2784119,Maxim9012,Windows,5.0,14.3,57.7,1.1,295,142,0,5029,2877,224,86,53,49,42,39,6529.4,7915.0,35.8,41.0
1784474801.8195262,Maxim9012,Windows,5.0,17.2,58.9,1.1,294,141,0,5003,2889,216,86,53,45,42,39,5204.6,7386.6,26.6,37.6
1784474827.1367598,Maxim9012,Windows,5.0,14.2,57.8,1.1,294,141,0,5013,2877,213,85,53,44,41,38,4291.4,6405.2,23.4,36.0
1784474852.1009696,Maxim9012,Windows,5.0,16.6,58.7,1.1,299,146,5,5103,2934,208,84,53,43,41,38,4192.6,7423.0,24.6,40.8
1784474877.8179286,Maxim9012,Windows,5.0,14.0,58.4,1.1,296,142,1,5026,2886,204,84,53,42,41,38,3226.8,3532.2,22.6,29.6
1784474902.8952951,Maxim9012,Windows,5.0,14.2,57.4,1.1,295,141,0,4984,2889,210,86,53,44,41,38,13252.2,10300.6,43.4,54.2
1784474928.4241102,Maxim9012,Windows,5.0,16.7,58.9,1.1,300,146,5,5114,2934,218,88,53,46,41,38,8622.0,9005.8,40.6,48.4
1784474954.23215,Maxim9012,Windows,5.0,14.3,59.0,1.1,294,141,0,4968,2877,220,88,53,47,41,38,7695.0,8039.2,36.6,46.4
1784474979.6356509,Maxim9012,Windows,5.0,16.4,59.2,1.1,300,147,6,5107,2943,222,88,53,48,41,38,4463.2,6374.4,27.4,35.8
1784475005.394714,Maxim9012,Windows,5.0,13.8,58.9,1.1,295,141,1,4988,2889,221,88,53,49,41,38,9968.0,11768.6,46.2,55.4
1784475030.7002482,Maxim9012,Windows,5.0,17.4,60.0,1.1,299,146,5,5088,2934,224,93,53,52,41,38,18548.2,49721.4,76.4,97.8
1784475056.9509273,Maxim9012,Windows,5.0,16.2,59.3,1.1,297,141,4,5061,2877,237,96,53,55,49,46,11131.4,24097.2,58.4,71.0
1784475082.5251744,Maxim9012,Windows,5.0,15.7,58.1,1.1,297,141,0,5064,2889,266,92,53,53,66,63,15470.2,39305.2,88.8,101.0
1784475108.7621527,Maxim9012,Windows,5.0,21.0,59.5,1.1,295,141,0,5068,2889,262,90,53,53,66,63,3433.4,3437.6,20.8,26.0
1784475134.0426116,Maxim9012,Windows,5.0,13.7,58.2,1.1,295,141,0,5046,2877,259,90,53,53,66,63,5127.6,6994.6,32.4,36.6
1784475159.6233256,Maxim9012,Windows,5.0,17.1,59.4,1.1,298,144,3,5081,2916,258,90,53,51,66,63,4480.6,8545.0,31.6,44.2
1784475185.2452238,Maxim9012,Windows,5.0,13.5,58.1,1.1,296,141,1,4969,2877,237,91,53,52,53,50,4014.0,6354.0,26.2,36.4
1784475210.3312886,Maxim9012,Windows,5.0,16.0,59.9,1.1,303,146,7,5105,2934,214,89,53,49,41,38,5621.0,7267.4,39.0,44.2
1784475236.2064877,Maxim9012,Windows,5.0,15.3,59.4,1.1,298,141,0,5010,2877,212,88,53,48,41,38,4776.0,5889.6,29.4,39.6
1784475261.268918,Maxim9012,Windows,5.0,13.3,58.1,1.1,298,141,0,5005,2889,212,87,53,45,41,38,5856.0,8332.8,37.4,44.8
1784475286.8341353,Maxim9012,Windows,5.0,18.2,59.4,1.1,300,145,4,5074,2925,211,87,53,45,41,38,2512.6,7693.6,23.8,31.0
1784475312.3846462,Maxim9012,Windows,5.0,13.9,57.9,1.0,296,141,0,4974,2877,213,90,53,46,41,38,15297.2,36722.8,74.4,92.6
1784475337.9281325,Maxim9012,Windows,5.0,17.6,59.0,1.0,299,146,5,5064,2934,210,88,53,45,41,38,8648.8,7154.6,37.4,44.8
1784475363.6281526,Maxim9012,Windows,5.0,14.5,57.7,1.0,293,141,0,4950,2877,211,89,53,45,41,38,6183.2,7388.4,33.2,44.0
1784475388.514949,Maxim9012,Windows,5.0,14.7,59.0,1.0,298,146,5,5053,2934,208,91,53,45,41,39,6084.2,8495.6,34.2,39.4
1784475414.4282486,Maxim9012,Windows,5.0,15.2,58.9,1.0,293,141,0,4938,2877,207,82,53,46,40,37,4817.8,6748.4,33.6,40.0
1784475439.6637838,Maxim9012,Windows,5.0,14.0,57.7,1.0,293,141,0,4948,2889,221,88,53,47,42,39,6489.8,10356.6,44.2,50.4
1784475465.237341,Maxim9012,Windows,5.0,17.1,58.5,1.0,296,143,3,4992,2907,221,87,53,47,42,39,1586.8,3190.6,16.0,24.4
1784475490.741426,Maxim9012,Windows,5.0,13.8,57.3,1.0,294,141,0,4957,2878,223,88,53,48,42,39,5384.6,5960.8,28.6,34.4
1784475516.1334364,Maxim9012,Windows,5.0,16.1,58.6,1.0,299,146,5,5068,2935,216,90,53,45,41,38,4661.2,6198.8,29.2,36.6
1784475541.9252975,Maxim9012,Windows,5.0,14.3,57.7,1.0,293,141,0,4973,2878,219,91,53,47,41,38,5311.0,9771.2,28.4,37.6
1784475567.2591434,Maxim9012,Windows,5.0,14.7,57.7,1.0,297,144,4,5127,2913,216,92,53,49,41,38,10400.6,11834.8,48.4,52.4
1784475593.4389863,Maxim9012,Windows,5.0,16.2,59.0,1.0,300,147,4,5205,2944,217,92,53,47,41,38,5772.2,7012.4,31.2,37.6
1784475619.649388,Maxim9012,Windows,5.0,14.8,58.8,1.0,297,143,3,5094,2890,222,94,53,48,41,38,20478.4,36220.0,74.8,88.2
1784475645.5458176,Maxim9012,Windows,5.0,17.7,59.0,1.0,296,143,0,5075,2890,223,94,53,50,41,38,4195.6,5259.6,30.2,34.4
1784475671.1533418,Maxim9012,Windows,5.0,14.7,58.7,1.0,296,143,1,5070,2893,220,89,53,48,41,38,7479.8,17103.6,47.4,59.4
1784475697.2003284,Maxim9012,Windows,5.0,20.1,59.3,1.0,302,148,7,5147,2941,218,90,53,49,41,38,5384.2,6402.6,29.2,37.0
1784475723.3925815,Maxim9012,Windows,5.0,12.9,58.0,1.0,297,143,0,5088,2884,220,91,53,50,41,38,5153.8,7541.2,29.4,41.8
1784475748.6912856,Maxim9012,Windows,5.0,15.8,59.2,1.0,301,147,5,5168,2937,227,92,53,52,41,38,7466.0,8956.6,41.4,46.2
1784475774.8410828,Maxim9012,Windows,5.0,15.1,58.5,1.0,296,141,1,5015,2878,226,92,53,50,41,38,3465.2,4920.4,25.0,31.2
1784475800.0723035,Maxim9012,Windows,5.0,14.2,57.5,1.0,296,141,0,5072,2890,229,96,53,54,43,40,9632.8,21788.2,56.8,65.6
1784475825.8551626,Maxim9012,Windows,5.0,17.3,58.7,1.0,298,143,2,5117,2908,229,94,53,52,43,40,7559.2,4565.2,42.4,41.2
1784475851.6692197,Maxim9012,Windows,5.0,16.5,58.6,1.0,298,143,2,5081,2908,227,93,53,52,42,39,9673.0,8568.2,43.8,45.0
1784475877.1378527,Maxim9012,Windows,5.0,14.1,58.6,1.0,301,147,4,5123,2944,223,90,53,50,42,39,3765.4,4460.0,27.2,32.6
1784475903.0314415,Maxim9012,Windows,5.0,13.9,57.6,1.0,295,141,0,5001,2878,224,90,53,50,41,38,8185.6,9801.4,36.8,41.2
